 TIME                    ,ÏµÍ³COP                  ,Time                     ,¸ººÉ                     ,
  +4.5263999999999996E+03,  +5.2514844021944276E+00,  +4.5265000000000000E+03,  +4.9445637950000000E+03,
  +4.5265000000000000E+03,  +4.9319612860947126E+00,  +4.5266000000000004E+03,  +2.4549865989999998E+03,
  +4.5266000000000004E+03,  +5.0922687660184529E+00,  +4.5266999999999998E+03,  +2.1898826450000001E+03,
  +4.5266999999999998E+03,  +5.1081995295715954E+00,  +4.5268000000000002E+03,  +3.5726828829999999E+03,
  +4.5268000000000002E+03,  +4.8526233522902906E+00,  +4.5268999999999996E+03,  +3.0239516549999998E+03,
  +4.5268999999999996E+03,  +4.8304653126415094E+00,  +4.5270000000000000E+03,  +3.8033579239999999E+03,
  +4.5270000000000000E+03,  +5.1672873369206167E+00,  +4.5271000000000004E+03,  +3.3215248029999998E+03,
  +4.5271000000000004E+03,  +5.4345180942847504E+00,  +4.5271999999999998E+03,  +4.1235106360000000E+03,
  +4.5271999999999998E+03,  +5.3933347034619077E+00,  +4.5273000000000002E+03,  +4.5161260780000002E+03,
  +4.5273000000000002E+03,  +4.8712824178105203E+00,  +4.5273999999999996E+03,  +3.1189802780000000E+03,
  +4.5273999999999996E+03,  +5.3661305935480232E+00,  +4.5275000000000000E+03,  +4.3487664379999997E+03,
  +4.5275000000000000E+03,  +5.4612113131282358E+00,  +4.5276000000000004E+03,  +4.4746837679999999E+03,
  +4.5276000000000004E+03,  +4.9015273714059484E+00,  +4.5276999999999998E+03,  +2.8531023820000000E+03,
  +4.5276999999999998E+03,  +4.9058281598888316E+00,  +4.5278000000000002E+03,  +2.1279005860000002E+03,
  +4.5278000000000002E+03,  +4.8442912150997950E+00,  +4.5278999999999996E+03,  +4.6950529109999998E+03,
  +4.5278999999999996E+03,  +5.3157842766993504E+00,  +4.5280000000000000E+03,  +4.3842445879999996E+03,
  +4.5280000000000000E+03,  +3.5790872988884024E+00,  +4.5281000000000004E+03,  +1.3011748630000000E+03,
  +4.5281000000000004E+03,  +4.6357379582757989E+00,  +4.5281999999999998E+03,  +1.6943054810000001E+03,
  +4.5281999999999998E+03,  +4.4655945669728689E+00,  +4.5283000000000002E+03,  +1.3751937129999999E+03,
  +4.5283000000000002E+03,  +4.1377443492959047E+00,  +4.5283999999999996E+03,  +1.1000914310000001E+03,
  +4.5283999999999996E+03,  +4.7452771300647401E+00,  +4.5285000000000000E+03,  +1.6837891700000000E+03,
  +4.5285000000000000E+03,  +4.7367796902444876E+00,  +4.5286000000000004E+03,  +1.8522390580000001E+03,
  +4.5286000000000004E+03,  +4.8207892647898944E+00,  +4.5286999999999998E+03,  +1.9535529750000001E+03,
  +4.5286999999999998E+03,  +4.2063309440728052E+00,  +4.5288000000000002E+03,  +1.3493245540000000E+03,
  +4.5288000000000002E+03,  +4.0839409863763416E+00,  +4.5288999999999996E+03,  +1.0491435200000001E+03,
  +4.5288999999999996E+03,  +4.0833188272569334E+00,  +4.5290000000000000E+03,  +1.1440311680000000E+03,
  +4.5290000000000000E+03,  +4.5587292516971409E+00,  +4.5291000000000004E+03,  +1.6224719299999999E+03,
  +4.5291000000000004E+03,  +4.7505380507158703E+00,  +4.5291999999999998E+03,  +1.9029323760000000E+03,
  +4.5291999999999998E+03,  +4.2425116516228663E+00,  +4.5293000000000002E+03,  +1.3982182250000001E+03,
  +4.5293000000000002E+03,  +4.5168114671871695E+00,  +4.5293999999999996E+03,  +1.5996257720000001E+03,
  +4.5293999999999996E+03,  +4.4523157260673454E+00,  +4.5295000000000000E+03,  +1.1944584669999999E+03,
  +4.5295000000000000E+03,  +4.2999702076251038E+00,  +4.5296000000000004E+03,  +1.3558253470000000E+03,
  +4.5296000000000004E+03,  +4.4487018242682783E+00,  +4.5296999999999998E+03,  +1.3719229750000000E+03,
  +4.5296999999999998E+03,  +5.0430702315872766E+00,  +4.5298000000000002E+03,  +1.9022306300000000E+03,
  +4.5298000000000002E+03,  +4.7359746546352435E+00,  +4.5298999999999996E+03,  +1.7260167070000000E+03,
  +4.5298999999999996E+03,  +4.5402944567957411E+00,  +4.5300000000000000E+03,  +1.5183965659999999E+03,
  +4.5300000000000000E+03,  +4.4785421914880557E+00,  +4.5301000000000004E+03,  +1.6213707770000001E+03,
  +4.5301000000000004E+03,  +4.3472434600160517E+00,  +4.5301999999999998E+03,  +1.2346793860000000E+03,
  +4.5301999999999998E+03,  +4.2508011575272446E+00,  +4.5303000000000002E+03,  +1.4338283409999999E+03,
  +4.5303000000000002E+03,  +4.5070702326957228E+00,  +4.5303999999999996E+03,  +1.4493955770000000E+03,
  +4.5303999999999996E+03,  +4.0820564142134659E+00,  +4.5305000000000000E+03,  +9.7266645270000004E+02,
  +4.5305000000000000E+03,  +4.8453202644079907E+00,  +4.5306000000000004E+03,  +1.9873685599999999E+03,
  +4.5306000000000004E+03,  +4.4643734230835044E+00,  +4.5306999999999998E+03,  +1.3888885670000000E+03,
  +4.5306999999999998E+03,  +4.3890156815189574E+00,  +4.5308000000000002E+03,  +1.5562223910000000E+03,
  +4.5308000000000002E+03,  +4.6524864326653761E+00,  +4.5308999999999996E+03,  +1.6042647609999999E+03,
  +4.5308999999999996E+03,  +4.7069254772823959E+00,  +4.5310000000000000E+03,  +1.6579920629999999E+03,
  +4.5310000000000000E+03,  +4.1014661657240810E+00,  +4.5311000000000004E+03,  +1.1577462190000001E+03,
  +4.5311000000000004E+03,  +4.0140586422162992E+00,  +4.5311999999999998E+03,  +9.0705019979999997E+02,
  +4.5311999999999998E+03,  +4.6466681152109661E+00,  +4.5313000000000002E+03,  +1.5823495969999999E+03,
  +4.5313000000000002E+03,  +4.8275536388362417E+00,  +4.5313999999999996E+03,  +1.9956779289999999E+03,
  +4.5313999999999996E+03,  +4.4159616258528454E+00,  +4.5315000000000000E+03,  +1.3172116730000000E+03,
  +4.5315000000000000E+03,  +4.0347585975932354E+00,  +4.5316000000000004E+03,  +1.0491593809999999E+03,
  +4.5316000000000004E+03,  +4.8954711547806182E+00,  +4.5316999999999998E+03,  +1.9586838519999999E+03,
  +4.5316999999999998E+03,  +4.5989555614885624E+00,  +4.5318000000000002E+03,  +1.7650582219999999E+03,
  +4.5318000000000002E+03,  +4.6518209803905002E+00,  +4.5318999999999996E+03,  +1.6812315300000000E+03,
  +4.5318999999999996E+03,  +4.6961908065346858E+00,  +4.5320000000000000E+03,  +1.8564660810000000E+03,
  +4.5320000000000000E+03,  +4.2822310207699328E+00,  +4.5321000000000004E+03,  +1.4047680120000000E+03,
  +4.5321000000000004E+03,  +4.7317251984413842E+00,  +4.5321999999999998E+03,  +1.8112064710000000E+03,
  +4.5321999999999998E+03,  +4.2821178211152162E+00,  +4.5323000000000002E+03,  +1.3368184030000000E+03,
  +4.5323000000000002E+03,  +4.6607800976094724E+00,  +4.5323999999999996E+03,  +1.7461995540000000E+03,
  +4.5323999999999996E+03,  +4.2468037889219348E+00,  +4.5325000000000000E+03,  +1.1258695980000000E+03,
  +4.5325000000000000E+03,  +4.1020421810740197E+00,  +4.5326000000000004E+03,  +9.9025341270000001E+02,
  +4.5326000000000004E+03,  +4.3411946482699699E+00,  +4.5326999999999998E+03,  +1.2258946630000000E+03,
  +4.5326999999999998E+03,  +4.1872672471220280E+00,  +4.5328000000000002E+03,  +1.0695233189999999E+03,
  +4.5328000000000002E+03,  +4.8082528382704570E+00,  +4.5328999999999996E+03,  +1.8522740369999999E+03,
  +4.5328999999999996E+03,  +4.3352745774461656E+00,  +4.5330000000000000E+03,  +1.4124406170000000E+03,
  +4.5330000000000000E+03,  +4.7971097075843732E+00,  +4.5331000000000004E+03,  +1.9161279640000000E+03,
  +4.5331000000000004E+03,  +3.8424963776745207E+00,  +4.5331999999999998E+03,  +9.1842452300000002E+02,
  +4.5331999999999998E+03,  +4.1954569945584739E+00,  +4.5333000000000002E+03,  +1.2174242480000000E+03,
  +4.5333000000000002E+03,  +4.7740254567401168E+00,  +4.5333999999999996E+03,  +1.7447560180000000E+03,
  +4.5333999999999996E+03,  +4.4059960901833355E+00,  +4.5335000000000000E+03,  +1.5405149910000000E+03,
  +4.5335000000000000E+03,  +4.4912645453792521E+00,  +4.5336000000000004E+03,  +1.5761056860000001E+03,
  +4.5336000000000004E+03,  +4.8939175833018140E+00,  +4.5336999999999998E+03,  +1.8839977710000001E+03,
  +4.5336999999999998E+03,  +3.9502765278505794E+00,  +4.5338000000000002E+03,  +9.8162490009999999E+02,
  +4.5338000000000002E+03,  +5.0482294301350965E+00,  +4.5338999999999996E+03,  +1.9372701190000000E+03,
  +4.5338999999999996E+03,  +4.3392493837926862E+00,  +4.5340000000000000E+03,  +1.3609834510000001E+03,
  +4.5340000000000000E+03,  +4.6646945945946703E+00,  +4.5341000000000004E+03,  +1.4910443399999999E+03,
  +4.5341000000000004E+03,  +4.0208859532183219E+00,  +4.5341999999999998E+03,  +1.0837603750000001E+03,
  +4.5341999999999998E+03,  +4.3585187670817938E+00,  +4.5343000000000002E+03,  +1.4006435400000000E+03,
  +4.5343000000000002E+03,  +4.4100275505578397E+00,  +4.5343999999999996E+03,  +1.3055587310000001E+03,
  +4.5343999999999996E+03,  +4.0790847610254435E+00,  +4.5345000000000000E+03,  +9.6592589299999997E+02,
  +4.5345000000000000E+03,  +4.4383934507244289E+00,  +4.5346000000000004E+03,  +1.5251114410000000E+03,
  +4.5346000000000004E+03,  +4.6442751672428724E+00,  +4.5346999999999998E+03,  +1.4611292599999999E+03,
  +4.5346999999999998E+03,  +4.4563519016139521E+00,  +4.5348000000000002E+03,  +1.3824066450000000E+03,
  +4.5348000000000002E+03,  +3.9655432075751378E+00,  +4.5348999999999996E+03,  +9.8346814329999995E+02,
  +4.5348999999999996E+03,  +4.9211643376503309E+00,  +4.5350000000000000E+03,  +1.8899118229999999E+03,
  +4.5350000000000000E+03,  +4.3072664967441527E+00,  +4.5351000000000004E+03,  +1.2357178910000000E+03,
  +4.5351000000000004E+03,  +4.8965699325111594E+00,  +4.5351999999999998E+03,  +1.9977119940000000E+03,
  +4.5351999999999998E+03,  +4.4370462748440662E+00,  +4.5353000000000002E+03,  +1.5688828880000001E+03,
  +4.5353000000000002E+03,  +4.9779370899788029E+00,  +4.5353999999999996E+03,  +1.9586772690000000E+03,
  +4.5353999999999996E+03,  +4.7995224444962092E+00,  +4.5355000000000000E+03,  +1.7505490130000001E+03,
  +4.5355000000000000E+03,  +4.3250718960866781E+00,  +4.5356000000000004E+03,  +1.2061795119999999E+03,
  +4.5356000000000004E+03,  +4.4914915236222841E+00,  +4.5356999999999998E+03,  +1.4012849020000001E+03,
  +4.5356999999999998E+03,  +4.7677652235718853E+00,  +4.5358000000000002E+03,  +1.9220951239999999E+03,
  +4.5358000000000002E+03,  +4.4337927715532031E+00,  +4.5358999999999996E+03,  +1.3225976570000000E+03,
  +4.5358999999999996E+03,  +5.0000766202346760E+00,  +4.5360000000000000E+03,  +1.9699813670000001E+03,
  +4.5360000000000000E+03,  +4.1517060715699046E+00,  +4.5361000000000004E+03,  +1.0320352730000000E+03,
  +4.5361000000000004E+03,  +4.0010900691043387E+00,  +4.5361999999999998E+03,  +1.0057567700000000E+03,
  +4.5361999999999998E+03,  +4.4899910901721451E+00,  +4.5363000000000002E+03,  +1.2009642110000000E+03,
  +4.5363000000000002E+03,  +4.3549649103580990E+00,  +4.5363999999999996E+03,  +1.2203228549999999E+03,
  +4.5363999999999996E+03,  +4.4814652307566583E+00,  +4.5365000000000000E+03,  +1.3692852130000001E+03,
